planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
HAT-P-12 b,Transit,1,3.2130598,0.0384,0,0.3192,89,209.389496,43.493534,142.5,12.84,4650,0.73,0.7,,67.059,,10.749,0.099,-40.51,5.4,-0.678,
HAT-P-13 b,Transit,2,2.91626,0.0427,0.021,0.498,83.4,129.882538,47.352051,214,10.622,5653,1.22,1.56,2454780.64,271.098,,14.359,0.132,14.69,4.4,0.346,
HAT-P-13 c,Radial Velocity,2,445.82,1.258,0.6551,,,129.882538,47.352051,214,10.622,5653,1.22,1.56,2455311.82,,4643.3,,,14.69,4.4,0.346,
HAT-P-14 b,Transit,1,4.627669,0.0606,0.107,1.82,83.5,260.11618,38.242165,205,9.98,6600,1.39,1.47,,709.367,,12.89,0.118,-20.81,3,0.563,
HAT-P-15 b,Transit,1,10.863502,0.0964,0.19,1.96,89.1,66.248024,39.460636,190,12.16,5568,1.01,1.08,,618.471,,12.016,0.11,31.23,4.5,0,
HAT-P-16 b,Transit,1,2.77596,0.0413,0.036,2.42,86.6,9.573181,42.463078,235,10.812,6140,1.22,1.16,,1332.605,,14.448,0.133,-16.83,3.8,,1.104
HAT-P-17 b,Transit,2,10.338523,0.0882,0.342,0.64,89.2,324.536407,30.488716,90,10.54,5246,0.86,0.84,2454803.25,169.71,,11.321,0.104,20.13,5,-0.319,
HAT-P-17 c,Radial Velocity,2,5584,5.6,0.39,,,324.536407,30.488716,90,10.54,5246,0.86,0.84,2454885,,1080.6,,,20.13,5,-0.319,
HAT-P-18 b,Transit,1,5.508023,0.0559,0.084,0.25,88.8,256.346466,33.012512,166,12.759,4803,0.77,0.75,,62.61,,11.153,0.102,-11.92,5.2,-0.569,
HAT-P-19 b,Transit,1,4.008778,0.0466,0.067,0.25,88.2,9.516742,34.711575,215,12.901,4990,0.84,0.82,,92.802,,12.689,0.116,-20.22,5.1,-0.432,
HAT-P-20 b,Transit,1,2.875317,0.0361,0.015,13.78,86.8,111.916466,24.33663,70,11.339,4595,0.76,0.69,,2302.899,,9.718,0.089,-18.81,5.3,-0.721,
HAT-P-21 b,Transit,1,4.124481,0.0494,0.228,4.68,87.2,171.274948,41.027954,254,11.685,5588,0.95,1.1,,1291.289,,11.478,0.105,-53.19,4.3,0.025,
HAT-P-22 b,Transit,1,3.21222,0.0414,0.016,2.11,86.9,155.681717,50.128345,82,9.732,5302,0.92,1.04,,682.352,,12.106,0.111,12.49,4.5,-0.114,
HAT-P-23 b,Transit,1,1.212884,0.0232,0.106,1.01,85.1,306.12384,16.762152,393,12.432,5905,1.13,1.2,,664.237,,15.334,0.141,-15.1,4,0.199,
HAT-P-24 b,Transit,1,3.35524,0.0465,0.067,0.44,88.6,108.825058,14.262599,396,11.818,6373,1.19,1.32,,217.704,,13.922,0.128,-2.09,3.8,0.408,
HAT-P-25 b,Transit,1,3.652836,0.0466,0.032,0.42,87.6,48.435417,25.197405,297,13.19,5500,1.01,0.96,,180.202,,13.339,0.122,-12.51,4.5,-0.125,
HAT-P-26 b,Transit,1,4.234516,0.0479,0.124,0.4,88.6,213.156387,4.059997,134,11.744,5079,0.82,0.79,,18.751,,6.333,0.058,14.72,5.1,-0.42,
HAT-P-27 b,Transit,1,3.039577,0.04,0,,85,222.767441,5.947368,204,,5300,0.94,0.9,,197.05,,11.43,0.105,-15.77,4.8,-0.244,
HAT-P-28 b,Transit,1,3.257215,0.0434,0.051,0.44,88,13.000766,34.728413,395,13.03,5680,1.02,1.1,,198.953,,13.585,0.125,43.88,4.3,0.053,
HAT-P-29 b,Transit,1,5.723186,0.0667,0.095,0.71,87.1,33.131142,51.778759,322,11.9,6087,1.21,1.22,,247.261,,12.408,0.114,-21.67,3.8,0.265,
HAT-P-30 b,Transit,1,2.810595,0.0419,0.035,0.37,83.6,123.949898,5.836719,193,10.419,6304,1.24,1.22,,225.968,,15.02,0.138,45.51,,0.312,
HAT-P-31 b,Transit,1,5.005425,0.055,0.245,2.18,87.1,271.53772,26.426662,354,11.66,6065,1.22,1.36,,689.98,,11.99,0.11,-2.4,,0.348,
HAT-P-32 b,Transit,1,2.150008,0.0343,0,0.19,88.9,31.042849,46.687836,283,11.289,6207,1.16,1.22,,273.322,,20.053,0.184,-23.21,,0.294,
HAT-P-33 b,Transit,1,3.474474,0.0499,0,0.2,87.2,113.184212,33.835052,387,11.188,6446,1.38,1.64,,242.176,,18.898,0.173,23.03,,0.618,
HAT-P-34 b,Transit,1,5.452654,0.0677,0.441,2.4,87.1,303.195343,18.104868,257,10.162,6442,1.39,1.53,,1057.694,,13.417,0.123,-49.26,,0.56,
HAT-P-35 b,Transit,1,3.646706,0.0498,0.025,0.55,87.3,123.250763,4.787023,535,12.46,6096,1.24,1.44,,334.979,,14.93,0.137,40.95,,0.407,
HAT-P-36 b,Transit,1,1.327347,0.0238,0.063,1.12,86,188.266251,44.915352,317,12.262,5560,1.02,1.1,,582.24,,14.168,0.13,-16.29,,0.013,
HAT-P-37 b,Transit,1,2.797436,0.0379,0.058,0.89,86.9,284.296051,51.269138,411,13.23,5500,0.93,0.88,,371.528,,13.204,0.121,-20.53,,-0.208,
HAT-P-38 b,Transit,1,4.640382,0.0523,0.067,0.59,88.3,35.383232,32.246151,249,12.557,5330,0.89,0.92,,84.857,,9.247,0.085,-19.7,,-0.208,
HAT-P-39 b,Transit,1,3.54387,0.0509,0,0.19,87,113.758247,17.830082,642,12.422,6430,1.4,1.62,,190.372,,17.609,0.162,28.42,,0.607,
HAT-P-40 b,Transit,1,4.457243,0.0608,0,0.15,88.3,335.512848,45.457378,501,11.699,6080,1.51,2.21,,195.457,,19.392,0.178,-25,,0.778,
HAT-P-41 b,Transit,1,2.694047,0.0426,0,0.2,87.7,297.322662,4.672421,344,11.087,6390,1.42,1.68,,254.253,,18.887,0.173,31.68,,0.628,
HAT-P-42 b,Transit,1,4.641878,0.0575,0,0.61,85.9,135.344391,6.09723,447,12.168,5743,1.18,1.53,,331.801,,14.348,0.132,20.26,,0.356,
HAT-P-43 b,Transit,1,3.332687,0.0443,0,0.39,88.7,128.925735,10.206653,542,13.356,5645,1.05,1.1,,210.395,,14.359,0.132,-4.86,,0.045,
HAT-P-44 b,Transit,2,4.301219,0.0507,0.044,0.23,89.1,213.144073,47.014687,363,,5295,0.94,0.95,,111.871,,13.922,0.128,-33.45,,-0.194,
HAT-P-44 c,Radial Velocity,2,872.2,1.752,0.494,,,213.144073,47.014687,363,,5295,0.94,0.95,,,1271.3,,,-33.45,,-0.194,
HAT-P-45 b,Transit,1,3.128992,0.0452,0.049,0.38,87.8,274.37323,-3.381036,305,,6330,1.26,1.32,,283.492,,15.984,0.147,23.9,,0.4,
HAT-P-46 b,Transit,1,4.463129,0.0577,0.123,0.28,85.5,270.444214,-2.970947,296,,6120,1.28,1.4,,156.684,,14.392,0.132,-20.91,,0.391,
HAT-P-49 b,Transit,1,2.691548,0.0438,0,0.75,86.2,305.441406,26.692652,322,10.326,6820,1.54,1.83,,549.823,,15.838,0.145,15.15,3,0.814,
HATS-1 b,Transit,1,3.446459,0.0444,0.12,1.03,85.6,175.52533,-23.354836,303,12.053,5870,0.99,1.04,,589.55,,14.594,0.134,,,0.041,
HATS-2 b,Transit,1,1.354133,0.023,0,1.05,87.2,176.73909,-22.562992,360,13.562,5227,0.88,0.9,,427.463,,13.092,0.12,,5,-0.268,
HATS-3 b,Transit,1,3.547851,0.0485,0,0.51,86.2,312.457428,-24.428793,453,12.44,6351,1.21,1.4,,340.382,,15.48,0.142,,3,0.456,
HATS-5 b,Transit,1,4.763387,0.0542,0.019,0.39,89.3,67.22287,-21.481916,257,12.63,5304,0.94,0.87,,75.323,,10.223,0.094,,4,-0.268,
HD 142 b,Radial Velocity,2,349.7,1.02,0.17,,,1.579898,-49.075191,25.64,5.7,6403,1.23,1.47,2452683,,397.271,,,5.3,3.7,,
HD 142 c,Radial Velocity,2,6005,6.8,0.21,,,1.579898,-49.075191,25.64,5.7,6403,1.23,1.47,2455954,,1684.428,,,5.3,3.7,,
HD 1461 b,Radial Velocity,1,5.7727,0.063438,0.14,,,4.674448,-8.053001,23.44,6.46,5765,1.02,1.11,2450366.936,,7.6,,,-10.5,4.5,0.075,
HD 1502 b,Radial Velocity,1,431.8,1.31,0.101,,,4.82111,14.054755,167.5,8.342,,,,2455227,,985.2,,,,5,,
HD 1690 b,Radial Velocity,1,533,1.3,0.64,,,5.305497,-8.281169,7.01,9.173,,,,2454449,,1938.68,,,,5.1,,
HD 2039 b,Radial Velocity,1,1183,2.2,0.67,,,6.084491,-56.650047,89.85,8.987,,,,2451183,,1557.30139,,,8.4,4.25,,
HD 2638 b,Radial Velocity,1,3.4442,0.044,0,,,7.499466,-5.764002,53.71,9.375,,,,,,152.55197,,,,5.1,,
HD 2952 b,Radial Velocity,1,311.6,1.2,0.129,,,8.293311,54.894985,115.21,5.922,4844,2.54,12.02,2450112,,508.5,,,,5,1.85,
HD 3651 b,Radial Velocity,1,62.218,0.295,0.596,,,9.840858,21.250473,11.11,5.86,,,,2453932.6,,72.78,,,-33.5,5,,
HD 4113 b,Radial Velocity,1,526.62,1.28,0.903,,,10.802486,-37.982632,44.05,7.881,,,,2453778,,495.79391,,,4,4.5,,
HD 4208 b,Radial Velocity,1,829,1.7,0.04,,,11.111043,-26.51568,32.7,7.783,,,,2451774,,254.25329,,,56.2,4.5,,
HD 4308 b,Radial Velocity,1,15.609,0.118,0.27,,,11.163615,-65.649521,21.85,6.56,,,,2450108.5,,12.87157,,,95.1,4.5,,
HD 4203 b,Radial Velocity,2,437.05,1.1735,0.52,,,11.171676,20.448927,77.82,8.687,5702,1.13,,2451911.52,,578.43,,,-14.1,4.5,,
HD 4203 c,Radial Velocity,2,6700,6.95,0.24,,,11.171676,20.448927,77.82,8.687,5702,1.13,,2456000,,689.66,,,-14.1,4.5,,
HD 4313 b,Radial Velocity,1,356,1.19,0.041,,,11.41816,7.845021,131.41,7.822,,,,2454804,,730.978,,,,4.5,,
HD 4732 b,Radial Velocity,2,360.2,1.19,0.13,,,12.308117,-24.136671,56.5,5.89,4959,1.74,5.4,2454967,,753.23,,,,5,1.19,
HD 4732 c,Radial Velocity,2,2732,4.6,0.23,,,12.308117,-24.136671,56.5,5.89,4959,1.74,5.4,2456093,,753.23,,,,5,1.19,
HD 5319 b,Radial Velocity,1,675,1.75,0.12,,,13.755836,0.789553,100,8.047,,,,2463068,,616.56423,,,,5,,
HD 5608 b,Radial Velocity,1,792.6,1.9,0.19,,,14.559246,33.950886,58.17,5.98,4854,1.55,5.5,2452327,444.943,,,,,5,1.179,
HD 5891 b,Radial Velocity,1,177.11,0.76,0.066,,,15.1383,20.292484,150.6,8.114,,,,2455432,,2415.4,,,,4.5,,
HD 6434 b,Radial Velocity,1,21.998,0.14,0.17,,,16.167295,-39.488216,40.32,7.73,,,,2451490.8,,123.95,,,22.9,4.25,,
HD 6718 b,Radial Velocity,1,2496,,,,,16.952761,-8.233706,55.01,8.45,,,,,,524.39741,,,34.1,4.5,,
HD 7199 b,Radial Velocity,1,615,1.36,0.19,,,17.696762,-66.188164,35.88,8.027,,,,2455030,,92.1668,,,4.8,5,,
HD 7449 b,Radial Velocity,2,1275,2.3,0.82,,,18.622173,-5.047387,38.52,7.483,,,,2455298,,352.776,,,-20,4,,
HD 7449 c,Radial Velocity,2,4046,4.96,0.53,,,18.622173,-5.047387,38.52,7.483,,,,2455883,,635.633,,,-20,4,,
HD 7924 b,Radial Velocity,1,5.3978,0.057,0.17,,,20.496313,76.710281,16.82,7.167,,,,2454727.27,,9.21668,,,-23.4,5,,
HD 8535 b,Radial Velocity,1,1313,,,,,20.905149,-41.269802,56.34,7.686,,,,,,200.22446,,,2.4,4,,
HD 8574 b,Radial Velocity,1,227,0.757,0.297,,,21.302153,28.566692,44.15,7.112,,,,2453981,,572.07,,,18.6,3.8,,
HD 8673 b,Radial Velocity,1,1634,3.02,0.723,,,21.536604,34.5797,38.26,6.341,,,,2454420.5,,4513,,,17.3,3.5,,
HD 9446 b,Radial Velocity,2,30.052,0.189,0.2,,,23.334101,29.265148,52.85,8.369,,,,2454854.4,,222.472,,,,4.5,,
HD 9446 c,Radial Velocity,2,192.9,0.654,0.06,,,23.334101,29.265148,52.85,8.369,,,,2454510,,578.426,,,,4.5,,
HD 10180 c,Radial Velocity,6,5.75962,0.0641,0.077,,90,24.473234,-60.511528,39.39,7.321,,,,,,13.17,,,35.2,4.1,,
HD 10180 d,Radial Velocity,6,16.3567,0.1285,0.143,,90,24.473234,-60.511528,39.39,7.321,,,,,,11.94,,,35.2,4.1,,
HD 10180 e,Radial Velocity,6,49.747,0.2699,0.065,,90,24.473234,-60.511528,39.39,7.321,,,,,,25.4,,,35.2,4.1,,
HD 10180 f,Radial Velocity,6,122.72,0.4928,0.133,,90,24.473234,-60.511528,39.39,7.321,,,,,,23.6,,,35.2,4.1,,
HD 10180 g,Radial Velocity,6,602,1.423,0,,90,24.473234,-60.511528,39.39,7.321,,,,,,21.4,,,35.2,4.1,,
HD 10180 h,Radial Velocity,6,2248,3.42,0.151,,90,24.473234,-60.511528,39.39,7.321,,,,,,65.3,,,35.2,4.1,,
HD 10647 b,Radial Velocity,1,989.2,2.015,0.15,,,25.622149,-53.740833,17.35,5.519,6218,1.11,1.1,2453654,,298.75,,,27.68,3.9,0.149,
HD 10697 b,Radial Velocity,1,1075.2,2.131,0.099,,,26.232603,20.083149,32.56,6.279,,,,2451480,,1973.64,,,-46.6,4.5,,
HD 11506 b,Radial Velocity,2,1270.2,2.43,0.22,,,28.210558,-19.506975,53.82,7.513,,,,,,1093.29,,,-8.1,4,,
HD 11506 c,Radial Velocity,2,170.455,0.639,0.42,,,28.210558,-19.506975,53.82,7.513,,,,,,260.61,,,-8.1,4,,
HD 11977 b,Radial Velocity,1,711,1.93,0.4,,,28.733881,-67.647301,66.49,4.69,,,,2451420,,2080,,,,4.8,,
HD 11964 b,Radial Velocity,2,1945,3.16,0.041,,,29.290026,-10.242428,33.98,6.41,,,,245170,,198,,,-9.4,4.8,,
HD 11964 c,Radial Velocity,2,37.91,0.229,0.3,,,29.290026,-10.242428,33.98,6.41,,,,2454370,,25,,,-9.4,4.8,,
HD 12661 b,Radial Velocity,2,262.709,0.831,0.3768,,,31.142866,25.414305,37.16,7.425,,,,2454152.76,,731,,,-47.3,5,,
HD 12661 c,Radial Velocity,2,1708,2.9,0.031,,,31.142866,25.414305,37.16,7.425,,,,2456153.42,,610,,,-47.3,5,,
HD 13189 b,Radial Velocity,1,471.6,1.85,0.27,,,32.417381,32.316437,300.3,7.556,,,,2452327.9,,4400,,,,5.2,,
HD 13908 b,Radial Velocity,2,19.382,0.154,0.02,,,34.560665,65.59436,66.89,7.508,6255,1.29,1.67,,,274.91,,,15.88,3.8,0.602,
HD 13908 c,Radial Velocity,2,931,2.03,0.12,,,34.560665,65.59436,66.89,7.508,6255,1.29,1.67,,,1630.4,,,15.88,3.8,0.602,
HD 13931 b,Radial Velocity,1,4218,5.15,0.02,,,34.197414,43.772995,45.52,7.597,,,,2454494,,597,,,30.3,4,,
HD 16141 b,Radial Velocity,1,75.523,0.363,0.252,,,38.833035,-3.560602,35.91,6.818,,,,2450338.1,,82.6,,,-51.2,4.8,,
HD 16417 b,Radial Velocity,1,17.24,0.14,0.2,,,39.244198,-34.577976,25.54,5.79,,,,2450099.74,,22.1,,,10.6,4.1,,
HD 16175 b,Radial Velocity,1,990,2.1,0.59,,,39.257961,42.062634,59.84,7.282,,,,2452820,,1398,,,21.4,4,,
HD 17092 b,Radial Velocity,1,359.9,1.29,0.166,,,41.592153,49.653075,,7.732,,,,2452969.5,,1461.95641,,,,5,,
HD 17156 b,Radial Velocity,1,21.21663,0.1614,0.6819,3.78,86.89,42.435364,71.753235,78.25,8.162,6100,1.27,1.5,2454757.008,1014.15,,12.184,0.112,,4.5,0.412,
HD 18742 b,Radial Velocity,1,772,1.92,0.12,,,45.044407,-20.802603,127.88,7.814,,,,2455200,,858.1,,,,4.9,,
HD 19994 b,Radial Velocity,1,466.2,1.305,0.063,,,48.193485,-1.196101,22.38,5.06,,,,2453757,,435.41,,,19,4,,
HD 20794 b,Radial Velocity,3,18.315,0.1207,0,,,49.981876,-43.069782,6.06,4.27,,,,,,2.7,,,87.2,4.8,,
HD 20794 c,Radial Velocity,3,40.114,0.2036,0,,,49.981876,-43.069782,6.06,4.27,,,,,,2.4,,,87.2,4.8,,
HD 20794 d,Radial Velocity,3,90.309,0.3499,0,,,49.981876,-43.069782,6.06,4.27,,,,,,4.8,,,87.2,4.8,,
HD 20782 b,Radial Velocity,1,591.9,1.381,0.97,,,50.014908,-28.854071,36.02,7.367,,,,2451083.8,,603.85156,,,39.5,4.3,,
HD 20868 b,Radial Velocity,1,380.85,0.947,0.75,,,50.177895,-33.730103,44.5,9.928,,,,2454451.52,,632.45506,,,,5.35,,
HD 23127 b,Radial Velocity,1,1214,2.4,0.44,,,54.848495,-60.077843,89.13,8.55,,,,2450229,,476.725,,,21.9,4.2,,
HD 23079 b,Radial Velocity,1,738.459,1.65,0.1,,,54.929562,-52.915836,34.6,7.105,,,,,,829.50135,,,0.5,3.9,,
HD 22781 b,Radial Velocity,1,528.07,1.167,0.8191,,,55.206356,31.82629,31.79,8.766,,,,2454881.4,,4338.2,,,,5,,
HD 23596 b,Radial Velocity,1,1561,2.772,0.266,,,57.001556,40.530636,51.97,7.244,,,,2453163,,2450.37,,,-10.2,3.8,,
HD 24040 b,Radial Velocity,1,3668,4.92,0.04,,,57.595699,17.476366,46.51,7.493,5853,1.18,,2454308,,1274.44,,,-9.9,4,,
HD 25171 b,Radial Velocity,1,1845,3.02,0.08,,,58.956001,-65.186676,56.05,7.778,,,,2455301,,301.926,,,42.8,3.8,,
HD 27442 b,Radial Velocity,1,423.841,1.18,0.07,,,64.120956,-59.302155,18.24,4.44,,,,,,406.80526,,,29.2,5.15,,
HD 27631 b,Radial Velocity,1,2208,3.25,0.12,,,64.939461,-41.960266,44.54,8.243,5737,0.94,1,2453867,,460.83,,,21.11,4.3,-0.056,
HD 27894 b,Radial Velocity,1,17.991,0.122,0.049,,,65.19603,-59.410835,42.37,9.349,,,,2503275.46,,197.0463,,,,5.2,,
HD 28254 b,Radial Velocity,1,1117,,,,,66.211273,-50.622192,56.18,7.684,,,,,,368.66727,,,,4.5,,
HD 28185 b,Radial Velocity,1,385.9,1.032,0.092,,,66.609673,-10.550821,39.56,7.81,,,,2453793.6,,1776.59,,,49.6,4.55,,
HD 28678 b,Radial Velocity,1,387.1,1.25,0.168,,,67.856056,4.575287,168.92,8.44,,,,2455517,,540.3,,,,4.8,,
HD 30177 b,Radial Velocity,1,2819.654,3.86,0.3,,,70.476555,-58.020756,54.71,8.374,,,,,,2914.37832,,,63.1,4.8,,
HD 30562 b,Radial Velocity,1,1159.2,2.315,0.778,,,72.151604,-5.674045,26.5,5.78,5994,1.23,1.53,2453601.4,,436.362,,,77.24,3.8,,
HD 30856 b,Radial Velocity,1,912,1.8,0.117,,,72.574425,-24.368839,121.07,7.911,,,,2455260,,572.1,,,,5,,
HD 31253 b,Radial Velocity,1,466,1.26,0.3,,,73.681892,12.352201,53.82,7.133,,,,2450660,,158.908,,,12.1,3.8,,
HD 32518 b,Radial Velocity,1,157.54,0.59,0.01,,,77.403,69.639404,117.37,6.421,4580,1.13,10.22,2452950.29,,966.16,,,,5.1,,
HD 33142 b,Radial Velocity,1,326.6,1.06,0.12,,,76.898087,-13.98648,136.8,7.956,,,,2455324,,413.2,,,,5,,
HD 33283 b,Radial Velocity,1,18.179,0.168,0.48,,,77.004219,-26.797472,86.88,8.051,,,,2453017.6,,104.87948,,,4.1,4.4,,
HD 33564 b,Radial Velocity,1,388,1.1,0.34,,,80.639717,79.231148,20.98,5.084,,,,2452603,,2892.13116,,,-10.7,3.7,,
HD 34445 b,Radial Velocity,1,1049,2.07,0.27,,,79.420746,7.353343,45.01,7.328,,,,2453781,,250,,,-79.4,4,,
HD 37124 b,Radial Velocity,3,154.46,0.53,0.055,,,84.260361,20.730787,33.24,7.65,,,,2451000.11,,193.868,,,-23.1,4,,
HD 37124 c,Radial Velocity,3,2295,3.19,0.2,,,84.260361,20.730787,33.24,7.65,,,,2449606,,217.06875,,,-23.1,4,,
HD 37124 d,Radial Velocity,3,843.6,1.64,0.14,,,84.260361,20.730787,33.24,7.65,,,,2449409.4,,198.31757,,,-23.1,4,,
HD 37605 b,Radial Velocity,2,55,0.25,0.677,,,85.00721,6.060579,42.88,8.661,5448,1,0.9,2452992.986,,730.97821,,,,5,-0.229,
HD 37605 c,Radial Velocity,2,2720,3.814,0.013,,,85.00721,6.060579,42.88,8.661,5448,1,0.9,2454838,,1069.771,,,,5,-0.229,
HD 38283 b,Radial Velocity,1,363.2,1.02,0.41,,,84.258408,-73.699341,37.78,6.696,,,,2450802.6,108.058,,,,61.3,4.05,,
HD 38529 b,Radial Velocity,2,14.3098,0.131,0.257,,,86.64547,1.168193,42.43,5.95,,,,2454012.64,,266.64813,,,30.2,4.8,,
HD 38529 c,Radial Velocity,2,2140.2,3.712,0.341,,,86.64547,1.168193,42.43,5.95,,,,2452256.4,,4252.39,,,30.2,4.8,,
HD 38801 b,Radial Velocity,1,696.3,1.7,0,,,86.996567,-8.3277,99.4,8.269,,,,2453966,,3400.64,,,,4.8,,
HD 39091 b,Radial Velocity,1,2063.818,3.29,0.62,,,84.291214,-80.469124,18.21,5.65,,,,,,3289.40192,,,10.3,4.1,,
HD 40307 b,Radial Velocity,6,4.3123,0.0468,0.2,,,88.51767,-60.023472,12.83,7.15,4956,0.77,,,,4,,,30.4,5.25,-0.639,
HD 40307 c,Radial Velocity,6,9.6184,0.0799,0.06,,,88.51767,-60.023472,12.83,7.15,4956,0.77,,,,6.6,,,30.4,5.25,-0.639,
HD 40307 d,Radial Velocity,6,20.432,0.1321,0.07,,,88.51767,-60.023472,12.83,7.15,4956,0.77,,,,9.5,,,30.4,5.25,-0.639,
HD 40307 e,Radial Velocity,6,34.62,0.1886,0.15,,,88.51767,-60.023472,12.83,7.15,4956,0.77,,,,3.5,,,30.4,5.25,-0.639,
HD 40307 f,Radial Velocity,6,51.76,0.247,0.02,,,88.51767,-60.023472,12.83,7.15,4956,0.77,,,,5.2,,,30.4,5.25,-0.639,
HD 40307 g,Radial Velocity,6,197.8,0.6,0.29,,,88.51767,-60.023472,12.83,7.15,4956,0.77,,,,7.1,,,30.4,5.25,-0.639,
HD 40979 b,Radial Velocity,1,264.15,0.846,0.252,,,91.124763,44.260445,33.33,6.735,,,,2453919,,1274.44,,,32.8,3.8,,
HD 41004 A b,Radial Velocity,1,963,1.64,0.39,,,89.956871,-48.239693,43.03,8.621,,,,2452425,,807.25419,,,42.2,,,
HD 41004 B b,Radial Velocity,1,1.3283,0.0177,0.081,,,89.956886,-48.239841,43.03,,,,,2452434.88,,5838.29,,,,6.2,,
HD 41248 b,Radial Velocity,2,18.357,0.137,0.15,,,90.136589,-56.161835,52.03,8.807,5713,0.92,0.78,,,12.3,,,3.2,4.2,-0.167,
HD 41248 c,Radial Velocity,2,25.648,0.172,0,,,90.136589,-56.161835,52.03,8.807,5713,0.92,0.78,,,8.6,,,3.2,4.2,-0.167,
HD 43197 b,Radial Velocity,1,327.8,,,,,93.39859,-29.89727,54.94,8.953,,,,,,190.68997,,,,4.9,,
HD 43691 b,Radial Velocity,1,36.96,0.24,0.14,,,94.894485,41.092304,93.2,8.024,,,,2454046.6,,791.36336,,,-29.2,4,,
HD 44219 b,Radial Velocity,1,472,,,,,95.059677,-10.725009,50.43,7.698,,,,,,184.33363,,,-12.4,4.3,,
HD 45364 b,Radial Velocity,2,226.93,0.6813,0.1684,,,96.410316,-31.480953,32.58,8.062,,,,2453535.82,,59.4953,,,15.9,5,,
HD 45364 c,Radial Velocity,2,342.85,0.8972,0.0974,,,96.410316,-31.480953,32.58,8.062,,,,2453250.38,,209.0915,,,15.9,5,,
HD 45350 b,Radial Velocity,1,890.76,1.92,0.778,,,97.19046,38.962963,48.95,7.885,,,,2451825.3,,568.89173,,,-21.3,4.5,,
HD 45652 b,Radial Velocity,1,43.6,0.23,0.38,,,97.304962,10.933891,36.14,8.127,,,,2454120.3,,149.37381,,,,5.5,,
HD 46375 b,Radial Velocity,1,3.024,0.041,0.04,,,98.302597,5.462925,33.41,7.912,,,,,,79.13634,,,-1.6,5,,
HD 47186 b,Radial Velocity,2,4.0845,0.05,0.038,,,99.036613,-27.622297,37.84,7.626,,,,2454566.95,,22.77792,,,3.8,4.5,,
HD 47186 c,Radial Velocity,2,1353.6,2.395,0.249,,,99.036613,-27.622297,37.84,7.626,,,,2452010,,111.42968,,,3.8,4.5,,
HD 47536 b,Radial Velocity,1,430,,0.2,,,99.44841,-32.339733,121.36,5.28,,,,2451599.36,,1589.08306,,,,5.1,,
HD 48265 b,Radial Velocity,1,700,1.51,0.18,,,100.007195,-48.541954,87.41,8.032,,,,2454486,,368.66727,,,22.5,4.5,,
HD 49674 b,Radial Velocity,1,4.9437,0.058,0.23,,,102.877151,40.867756,40.73,8.097,,,,2461882.9,,36.549,,,11.8,4,,
HD 50499 b,Radial Velocity,1,2582.7,3.86,0.23,,,103.008438,-33.915562,47.26,7.195,,,,2561234.6,,543.4664,,,36.5,4.1,,
HD 50554 b,Radial Velocity,1,1279,2.38,0.42,,,103.678436,24.245558,31.03,6.844,,,,,,1557.30139,,,-4.2,3.8,,
HD 52265 b,Radial Velocity,1,118.96,0.49,0.29,,,105.07515,-5.367162,28.07,6.3,,,,,,359.13277,,,53.2,4,,
HD 60532 b,Radial Velocity,2,201.3,0.759,0.28,,,113.513252,-22.296066,25.7,4.45,6095,1.44,,2453987,,327.35,,,60.7,3.6,,
HD 60532 c,Radial Velocity,2,604,1.58,0.02,,,113.513252,-22.296066,25.7,4.45,6095,1.44,,2453723,,781.83,,,60.7,3.6,,
HD 63454 b,Radial Velocity,1,2.817822,0.036,0,,,114.841049,-78.278969,35.8,9.362,,,,,,120.77,,,,5.4,,
HD 62509 b,Radial Velocity,1,589.64,1.69,0.02,,,116.328957,28.026199,10.34,1.14,,,,2447739.02,,921.66817,,,,5,,
HD 63765 b,Radial Velocity,1,358,0.94,0.24,,,116.957161,-54.264145,32.62,8.104,,,,2454404,,203.4,,,22.1,4.6,,
HD 65216 b,Radial Velocity,2,572.4,1.3,0,,,118.422173,-63.647324,35.59,7.964,5666,0.92,,,,400.45,,,42.67,4.5,-0.149,
HD 65216 c,Radial Velocity,2,152.6,0.54,0.02,,,118.422173,-63.647324,35.59,7.964,5666,0.92,,,,54.03,,,42.67,4.5,-0.149,
HD 66141 b,Radial Velocity,1,480.5,1.2,0.07,,,120.566406,2.334571,80.06,4.38,4323,1.1,21.4,2451320.8,,1906.9,,,71.57,5.2,2.24,
HD 66428 b,Radial Velocity,1,1973,3.18,0.465,,,120.869438,-1.162709,55.04,8.258,,,,,,896.243,,,44.3,4.8,,
HD 68988 b,Radial Velocity,1,6.276,0.071,0.14,,,124.592384,61.460724,58.82,8.188,,,,,,603.85156,,,-69.7,4,,
HD 69830 b,Radial Velocity,3,8.667,0.0785,0.1,,,124.599777,-12.632174,12.58,6,,,,2453496.8,,10.488,,,29.8,5,,
HD 69830 c,Radial Velocity,3,31.56,0.186,0.13,,,124.599777,-12.632174,12.58,6,,,,2453469.6,,12.07703,,,29.8,5,,
